Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount,Fee Cur.,Exchange,Trade Group,Comment,Date
Spend,,,0.004,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-+NfRRdfhExu91LWo0fi++PTYwWqMyQ9w+aAz7G5USkQ=,2022-06-04 18:50:45
Trade,1.409847,AF-POOL,8.03323,goMINT,,,WLWW...3UFI,AlgoFi: Zap,s0Nsmh2bXt5LLrGE1836o42wmz1fJ2sTXwrpVqohKT4=,2022-06-04 18:54:09
Deposit,.001255,ALGO,,,,,WLWW...3UFI,AlgoFi: Zap Slippage,I- G-s0Nsmh2bXt5L...   T-MYOKMNR7MW2T...,2022-06-04 18:54:09
Spend,,,0.011000000000000003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-s0Nsmh2bXt5LLrGE1836o42wmz1fJ2sTXwrpVqohKT4=,2022-06-04 18:54:09
Trade,98.578469,ALGX,1.380000,ALGO,,,WLWW...3UFI,AlgoDex: Take Order,PSUxDR0kvSxvaKhj5eMrNR39GxNyOECD4FM4D8Q7ZOg=,2022-06-04 19:03:39
Spend,,,0.005,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-PSUxDR0kvSxvaKhj5eMrNR39GxNyOECD4FM4D8Q7ZOg=,2022-06-04 19:03:39
Trade,.117542,ALGO,8.578469,ALGX,,,WLWW...3UFI,AlgoDex: Take Order,6D8naC2Lh6hrv0OFPtHcPQ9/2WHcUjbOui4YLWldebc=,2022-06-04 19:07:08
Spend,,,0.004,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-6D8naC2Lh6hrv0OFPtHcPQ9/2WHcUjbOui4YLWldebc=,2022-06-04 19:07:08
Trade,100.00,STKE,1.377212,ALGO,,,WLWW...3UFI,AlgoFi: Fixed Output,jg9BGWTOnwdai2wSPAEdQguJUb2Hi4aEUXQ2NaLGYfE=,2022-06-04 19:11:41
Deposit,.006849,ALGO,,,,,WLWW...3UFI,AlgoFi: Trade Slippage,I- G-jg9BGWTOnwda...   T-FJAPMFHW445U...,2022-06-04 19:11:41
Spend,,,0.006,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-jg9BGWTOnwdai2wSPAEdQguJUb2Hi4aEUXQ2NaLGYfE=,2022-06-04 19:11:41
Spend,,,.001000,ALGO,,,WLWW...3UFI,Network Operation Fees,MUYYD6Z3DIBP74OUEX7WKUMKAN2NXPW4TXT72NQVY3TEIDGJCOOA,2022-06-04 19:13:08
Withdrawal,,,.500000,ALGO,,,WLWW...3UFI,AlgoDex: Make Order,Z/Q0Un0KkhZL7D8T5E7/uAxhBisAiAWBdhmX+j+dTk0=,2022-06-05 09:21:19
Deposit,.500000,ALGO,,,,,AlgoDex - Escrow,AlgoDex: Make Order,Z/Q0Un0KkhZL7D8T5E7/uAxhBisAiAWBdhmX+j+dTk0=,2022-06-05 09:21:19
Withdrawal,,,10.000000,ALGX,,,WLWW...3UFI,AlgoDex: Make Order,Z/Q0Un0KkhZL7D8T5E7/uAxhBisAiAWBdhmX+j+dTk0=,2022-06-05 09:21:19
Deposit,10.000000,ALGX,,,,,AlgoDex - Escrow,AlgoDex: Make Order,Z/Q0Un0KkhZL7D8T5E7/uAxhBisAiAWBdhmX+j+dTk0=,2022-06-05 09:21:19
Spend,,,0.002,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-Z/Q0Un0KkhZL7D8T5E7/uAxhBisAiAWBdhmX+j+dTk0=,2022-06-05 09:21:19
Trade,.033750,ALGO,2.500000,ALGX,,,AlgoDex - Escrow,AlgoDex: Order Taken,fnNdjq1ixJ5XirWu87366s6by/CpjAz5GrT27UZbwbQ=,2022-06-05 09:30:09
Withdrawal,,,.033750,ALGO,,,AlgoDex - Escrow,AlgoDex: Order Taken,fnNdjq1ixJ5XirWu87366s6by/CpjAz5GrT27UZbwbQ=,2022-06-05 09:30:09
Deposit,.033750,ALGO,,,,,WLWW...3UFI,AlgoDex: Order Taken,fnNdjq1ixJ5XirWu87366s6by/CpjAz5GrT27UZbwbQ=,2022-06-05 09:30:09
Trade,.033750,ALGO,2.500000,ALGX,,,AlgoDex - Escrow,AlgoDex: Order Taken,6TDhzNFHafXf49d5aSaJlq0c7bpYpu+RJyvx1PlMXGc=,2022-06-05 09:30:09
Withdrawal,,,.033750,ALGO,,,AlgoDex - Escrow,AlgoDex: Order Taken,6TDhzNFHafXf49d5aSaJlq0c7bpYpu+RJyvx1PlMXGc=,2022-06-05 09:30:09
Deposit,.033750,ALGO,,,,,WLWW...3UFI,AlgoDex: Order Taken,6TDhzNFHafXf49d5aSaJlq0c7bpYpu+RJyvx1PlMXGc=,2022-06-05 09:30:09
Trade,.033750,ALGO,2.500000,ALGX,,,AlgoDex - Escrow,AlgoDex: Order Taken,HwYe5dy2P6QX4HUnKKinLtWmgvmrbwaxH7y8N62Hmvk=,2022-06-05 09:30:09
Withdrawal,,,.033750,ALGO,,,AlgoDex - Escrow,AlgoDex: Order Taken,HwYe5dy2P6QX4HUnKKinLtWmgvmrbwaxH7y8N62Hmvk=,2022-06-05 09:30:09
Deposit,.033750,ALGO,,,,,WLWW...3UFI,AlgoDex: Order Taken,HwYe5dy2P6QX4HUnKKinLtWmgvmrbwaxH7y8N62Hmvk=,2022-06-05 09:30:09
Trade,.033750,ALGO,2.500000,ALGX,,,AlgoDex - Escrow,AlgoDex: Order Taken,//NPV+zs1dBeHPLE6ccN5KsplkEVMcrt81fxGYCwgT4=,2022-06-05 09:30:09
Withdrawal,,,.033750,ALGO,,,AlgoDex - Escrow,AlgoDex: Order Taken,//NPV+zs1dBeHPLE6ccN5KsplkEVMcrt81fxGYCwgT4=,2022-06-05 09:30:09
Deposit,.033750,ALGO,,,,,WLWW...3UFI,AlgoDex: Order Taken,//NPV+zs1dBeHPLE6ccN5KsplkEVMcrt81fxGYCwgT4=,2022-06-05 09:30:09
Withdrawal,,,0.5,ALGO,0.005,ALGO,AlgoDex - Escrow,AlgoDex: Order Taken,//NPV+zs1dBeHPLE6ccN5KsplkEVMcrt81fxGYCwgT4=,2022-06-05 09:30:09
Deposit,.495000,ALGO,,,,,WLWW...3UFI,AlgoDex: Order Taken,//NPV+zs1dBeHPLE6ccN5KsplkEVMcrt81fxGYCwgT4=,2022-06-05 09:30:09
Spend,,,.001000,ALGO,,,WLWW...3UFI,Network Operation Fees,EVZUYMI4GYLP7N42JDGK4EF2BG2OV7WECX4UYGCKHYMSNKNODVUA,2022-06-05 11:39:41
Trade,1000.00000000,AFD,1.843011,ALGO,0.005529032999999961,ALGO,WLWW...3UFI,Tinyman: Trade,WHDFJQ3f1YUFDiE/2q2ZJdw+vODv6DcyMO/X0KCps3w=,2022-06-05 11:41:04
Spend,,,0.004,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-WHDFJQ3f1YUFDiE/2q2ZJdw+vODv6DcyMO/X0KCps3w=,2022-06-05 11:41:04
Deposit,.018245,ALGO,,,,,WLWW...3UFI,Tinyman: Pooled Slippage,WbqBm+YFMOlP3wN/2gcKlMX1in2f6oW2MRYnwbe0nCU=,2022-06-05 11:41:22
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-WbqBm+YFMOlP3wN/2gcKlMX1in2f6oW2MRYnwbe0nCU=,2022-06-05 11:41:22
